X,Y,METER_ID,STREET_ADD,STATUS,LATITUDE,LONGITUDE,LONLATCONC
6043495.0020179749,2119508.9027030468,40358,0358 4th St Oakland CA,,37.80215100,-122.29361400,"-122.293614, 37.802151"
6048628.1853211522,2117382.4971789718,40361,0361 4th St Oakland CA,,37.79658108,-122.27571050,"-122.2757105, 37.79658108"
6043485.5184411407,2119511.6336687207,40362,0362 4th St Oakland CA,,37.80215800,-122.29364700,"-122.293647, 37.802158"
6048628.1853211522,2117382.4971789718,40363,0363 4th St Oakland CA,,37.79658108,-122.27571050,"-122.2757105, 37.79658108"
6048500.5513900667,2117515.6304428875,40365,0365 4th St Oakland CA,,37.79693999,-122.27616090,"-122.2761609, 37.79693999"
6048484.6701882333,2117523.9404656291,40367,0367 4th St Oakland CA,,37.79696198,-122.27621640,"-122.2762164, 37.79696198"
6048486.4946596473,2117455.6276101321,40369,0369 4th St Oakland CA,,37.79677450,-122.27620560,"-122.2762056, 37.7967745"
6048468.3693678081,2117464.468143627,40371,0371 4th St Oakland CA,,37.79679783,-122.27626890,"-122.2762689, 37.79679783"
6048449.5744578987,2117474.5524410456,40373,0373 4th St Oakland CA,,37.79682454,-122.27633460,"-122.2763346, 37.79682454"
6048430.2851263881,2117484.5005838871,40375,0375 4th St Oakland CA,,37.79685085,-122.27640200,"-122.276402, 37.79685085"
6048385.064744398,2117576.1549281329,40402,0402 4th St Oakland CA,,37.79710016,-122.27656450,"-122.2765645, 37.79710016"
6048362.4184642285,2117587.360942468,40404,0404 4th St Oakland CA,,37.79712975,-122.27664360,"-122.2766436, 37.79712975"
6048372.1618830562,2117516.0536703765,40406,0406 4th St Oakland CA,,37.79693446,-122.27660520,"-122.2766052, 37.79693446"
6048342.1934390664,2117598.2083617151,40408,0408 4th St Oakland CA,,37.79715848,-122.27671430,"-122.2767143, 37.79715848"
6048354.3718923926,2117524.2797037959,40410,0410 4th St Oakland CA,,37.79695612,-122.27666730,"-122.2766673, 37.79695612"
6048320.4690730572,2117609.2733002156,40414,0414 4th St Oakland CA,,37.79718773,-122.27679020,"-122.2767902, 37.79718773"
6048336.9375440627,2117532.965381965,40416,0416 4th St Oakland CA,,37.79697906,-122.27672820,"-122.2767282, 37.79697906"
6048299.6416869015,2117620.3651415557,40418,0418 4th St Oakland CA,,37.79721710,-122.27686300,"-122.276863, 37.7972171"
6048315.4221671522,2117544.3649654686,40422,0422 4th St Oakland CA,,37.79700924,-122.27680340,"-122.2768034, 37.79700924"
6048296.4792916477,2117554.2885020524,40424,0424 4th St Oakland CA,,37.79703550,-122.27686960,"-122.2768696, 37.7970355"
6048275.9904874712,2117564.9476014674,40450,0450 4th St Oakland CA,,37.79706370,-122.27694120,"-122.2769412, 37.7970637"
6048257.106995061,2117574.9387232214,40451,0451 4th St Oakland CA,,37.79709015,-122.27700720,"-122.2770072, 37.79709015"
6049318.1924713105,2117336.0740434676,40452,0452 4th St Oakland CA,,37.79648954,-122.27331980,"-122.2733198, 37.79648954"
6049333.4375195652,2117403.9977921247,40453,0453 4th St Oakland CA,,37.79667684,-122.27327150,"-122.2732715, 37.79667684"
6049301.3303003162,2117344.4972549677,40454,0454 4th St Oakland CA,,37.79651179,-122.27337870,"-122.2733787, 37.79651179"
6049314.7771238089,2117413.5945577174,40456,0456 4th St Oakland CA,NO METER FOUND,37.79670222,-122.27333670,"-122.2733367, 37.79670222"
6049281.9586198926,2117354.6681663841,40458,0458 4th St Oakland CA,,37.79653871,-122.27344640,"-122.2734464, 37.79653871"
6049295.8975683898,2117422.2815482169,40461,0461 4th St Oakland CA,,37.79672509,-122.27340260,"-122.2734026, 37.79672509"
6049232.1011080593,2117390.9066109657,40463,0463 4th St Oakland CA,,37.79663562,-122.27362130,"-122.2736213, 37.79663562"
6049255.0859702229,2117437.1926076263,40464,0464 4th St Oakland CA,,37.79676391,-122.27354480,"-122.2735448, 37.79676391"
6049212.8032463938,2117401.9285705537,40466,0466 4th St Oakland CA,,37.79666488,-122.27368880,"-122.2736888, 37.79666488"
6049194.0280214846,2117411.5528951287,40468,0468 4th St Oakland CA,,37.79669033,-122.27375440,"-122.2737544, 37.79669033"
6049176.1786477268,2117421.2290568799,40470,0470 4th St Oakland CA,,37.79671597,-122.27381680,"-122.2738168, 37.79671597"
6049154.3817753047,2117433.0489151329,40471,0471 4th St Oakland CA,,37.79674729,-122.27389300,"-122.273893, 37.79674729"
6049136.0173107237,2117443.0075566322,40472,0472 4th St Oakland CA,,37.79677368,-122.27395720,"-122.2739572, 37.79677368"
6049115.3359216452,2117454.2089778036,40473,0473 4th St Oakland CA,,37.79680336,-122.27402950,"-122.2740295, 37.79680336"
6049095.9133883119,2117464.7450459599,40474,0474 4th St Oakland CA,,37.79683128,-122.27409740,"-122.2740974, 37.79683128"
6048998.9270337224,2117566.7648550421,40481,0481 4th St Oakland CA,NO METER FOUND,37.79710636,-122.27443970,"-122.2744397, 37.79710636"
6048978.8591604829,2117576.7855042964,40501,0501 4th St Oakland CA,NO METER FOUND,37.79713283,-122.27450980,"-122.2745098, 37.79713283"
6048959.8582142293,2117586.6988703012,40502,0502 4th St Oakland CA,,37.79715906,-122.27457620,"-122.2745762, 37.79715906"
6048940.5104838908,2117596.5928793848,40503,0503 4th St Oakland CA,,37.79718522,-122.27464380,"-122.2746438, 37.79718522"
6048922.9157028049,2117605.9799997211,40504,0504 4th St Oakland CA,,37.79721008,-122.27470530,"-122.2747053, 37.79721008"
6048872.9486111403,2117631.8057354689,40507,0507 4th St Oakland CA,,37.79727839,-122.27487990,"-122.2748799, 37.79727839"
6048856.4935915619,2117640.3303247094,40508,0508 4th St Oakland CA,,37.79730094,-122.27493740,"-122.2749374, 37.79730094"
6048839.1812902242,2117649.3591780514,40509,0509 4th St Oakland CA,,37.79732483,-122.27499790,"-122.2749979, 37.79732483"
6048795.1571000665,2117671.6156952083,40510,0510 4th St Oakland CA,,37.79738365,-122.27515170,"-122.2751517, 37.79738365"
6048778.1328558922,2117680.598944962,40513,0513 4th St Oakland CA,,37.79740743,-122.27521120,"-122.2752112, 37.79740743"
6048634.1899023056,2117755.2611972094,40514,0514 4th St Oakland CA,,37.79760494,-122.27571420,"-122.2757142, 37.79760494"
6048605.9527540654,2117717.0325991362,40515,0515 4th St Oakland CA,,37.79749850,-122.27580940,"-122.2758094, 37.7974985"
6048614.5836423188,2117765.2329620421,40516,0516 4th St Oakland CA,,37.79763130,-122.27578270,"-122.2757827, 37.7976313"
6048588.0354670584,2117726.1569247097,40518,0518 4th St Oakland CA,,37.79752262,-122.27587200,"-122.275872, 37.79752262"
6048595.2473948896,2117775.735565722,40520,0520 4th St Oakland CA,,37.79765913,-122.27585030,"-122.2758503, 37.79765913"
6048640.7322120667,2117731.4863103777,40521,0521 4th St Oakland CA,,37.79754000,-122.27569000,"-122.27569, 37.79754"
6048577.5640313178,2117785.0154027939,40522,0522 4th St Oakland CA,,37.79768369,-122.27591210,"-122.2759121, 37.79768369"
6048511.484767139,2117765.8277771324,40524,0524 4th St Oakland CA,,37.79762756,-122.27613950,"-122.2761395, 37.79762756"
